study,country,income,sampling_duration_months,sampling_duration_category,total_household_pairs,discordant_pairs,proportion_exposed
"Augustynowicz-Kopec et al., 2012",Poland,High,93,high_5,43,15,
"Behr et al., 1998",United States,High,72,high_5,34,9,
"Bennett et al., 2002",United States,High,48,high_4,260,80,
"Blanco-Guillot et al., 2018",Mexico,Low_Mid,182,lowmid_5,29,6,
"Borrell et al., 2009",Spain,High,24,high_2,11,4,
"Buu et al., 2010",Vietnam,Low_Mid,24,lowmid_2,13,12,
"Cavany et al., 2018",United Kingdom,High,60,high_5,44,12,
"Chen et al., 2022",China,Low_Mid,110,lowmid_5,11,5,
"Colangeli et al., 2020",Brazil,Low_Mid,63,lowmid_5,41,13,
"Conceicao et al., 2018",Brazil,Low_Mid,168,lowmid_5,36,8,
"Dale et al., 2022",Australia,High,48,high_4,16,4,0.159
"Dheda et al., 2017 ",South Africa,Low_Mid,49,lowmid_5,21,8,
"Faal-Jawara et al., 2017",The Gambia,Low_Mid,24,lowmid_2,86,57,
"Fox et al., 2024",Vietnam,Low_Mid,30,lowmid_3,29,19,
"Glynn et al., 2015",Malawi,Low_Mid,168,lowmid_5,46,17,0.18
"Gounder et al., 2015",United States,High,48,high_4,10,4,
"Grandjean et al., 2015",Peru,Low_Mid,26,lowmid_3,25,5,
"Huang et al., 2025",Peru,Low_Mid,12,lowmid_1,175,66,
"Huh et al., 1995",South Korea,High,,high_5,11,2,
"Inigo et al., 2003",Spain,High,36,high_3,14,0,
"Kato-Maeda et al., 2019",United States,High,24,high_2,10,3,
"Lau et al., 2022",Canada,High,60,high_5,38,9,
"Lee et al., 2015",Canada,High,13,high_2,18,8,
"Leung et al., 2013","China, Hong Kong",High,186,high_5,19,11,
"Martin  et al., 2009",Spain,High,12,high_1,29,8,
"Middelkoop et al., 2015",South Africa,Low_Mid,120,lowmid_5,13,9,
"Moonan et al., 2020",Botswana,Low_Mid,44,lowmid_4,426,303,
"Sia et al.,2013",Philipines,Low_Mid,36,lowmid_3,16,10,
"Teeter et al., 2016",United States,High,58,high_5,32,3,
"Verver et al., 2004",South Africa,Low_Mid,72,lowmid_5,94,57,
